EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4300.769043,4273.717773,4304.487305,4322.820313,4359.230957,4292.692383,4275.256348,4271.666504,4275.256348,4260.256348,4441.666504,4366.153809,4386.538574,4404.358887
4294.358887,4276.153809,4298.974121,4314.871582,4354.487305,4284.358887,4272.820313,4267.820313,4279.102539,4256.922852,4440,4360.128418,4382.820313,4397.94873
4292.563965,4276.666504,4293.589844,4315,4349.358887,4277.05127,4266.025879,4259.615234,4275.256348,4243.461426,4432.820313,4356.794922,4388.461426,4393.333496
4295,4276.153809,4296.025879,4318.461426,4348.077148,4277.05127,4263.846191,4266.922852,4266.282227,4235,4427.820313,4363.461426,4383.333496,4392.436035
4291.410156,4270.384766,4298.333496,4320.512695,4343.077148,4273.589844,4263.333496,4277.692383,4263.846191,4231.153809,4437.179688,4370.512695,4370.641113,4390.897461
4287.179688,4267.563965,4295.769043,4323.974121,4340.384766,4270.641113,4262.307617,4275.128418,4268.205078,4229.615234,4452.179688,4369.487305,4370.384766,4390.512695
4301.282227,4276.025879,4310,4333.333496,4350.641113,4281.666504,4275.512695,4288.589844,4288.333496,4249.230957,4472.94873,4384.487305,4392.820313,4406.410156
4318.077148,4282.436035,4332.179688,4345.256348,4360.128418,4293.717773,4290.384766,4313.333496,4313.333496,4281.410156,4501.410156,4408.846191,4413.205078,4428.846191
4316.666504,4281.025879,4332.436035,4348.717773,4361.922852,4294.358887,4288.589844,4317.692383,4317.692383,4292.563965,4508.333496,4410.897461,4412.436035,4433.846191
4313.974121,4283.077148,4324.487305,4345.769043,4365.512695,4293.333496,4286.282227,4309.230957,4311.410156,4288.205078,4494.871582,4401.538574,4412.179688,4432.436035
4327.436035,4293.846191,4336.153809,4351.410156,4368.077148,4297.05127,4296.666504,4306.922852,4312.94873,4291.794922,4500.384766,4406.794922,4429.487305,4442.820313
4338.974121,4298.589844,4351.538574,4362.820313,4366.282227,4299.102539,4297.179688,4301.282227,4310.128418,4293.974121,4513.205078,4410.384766,4435.384766,4452.692383
4336.922852,4296.282227,4349.230957,4361.794922,4366.794922,4297.436035,4284.102539,4281.922852,4292.692383,4281.666504,4500.384766,4396.025879,4422.436035,4449.102539
4330.384766,4294.743652,4337.820313,4349.871582,4368.205078,4295.384766,4279.102539,4266.282227,4280,4266.922852,4478.717773,4377.94873,4414.615234,4437.307617
4326.410156,4294.487305,4327.307617,4342.563965,4365,4293.461426,4279.358887,4265,4278.589844,4262.692383,4468.717773,4367.05127,4416.538574,4433.717773
4325.769043,4293.974121,4326.153809,4343.717773,4365.641113,4292.94873,4274.230957,4260.769043,4271.025879,4261.538574,4461.666504,4363.333496,4412.179688,4440.641113
4326.666504,4294.102539,4329.871582,4343.846191,4370.769043,4295.512695,4272.179688,4250.641113,4259.102539,4250.128418,4453.589844,4365,4398.077148,4441.025879
4326.538574,4296.794922,4325.512695,4337.692383,4370.128418,4297.05127,4277.563965,4254.358887,4266.794922,4247.307617,4454.615234,4366.666504,4399.230957,4436.666504
4320.512695,4289.871582,4317.820313,4330.128418,4363.461426,4295.128418,4280.128418,4272.307617,4287.307617,4263.974121,4463.077148,4368.589844,4417.179688,4435.897461
4311.538574,4276.153809,4315.384766,4324.743652,4359.871582,4296.025879,4278.333496,4287.307617,4299.487305,4278.974121,4475.384766,4377.94873,4418.461426,4434.487305
4307.94873,4276.153809,4313.077148,4323.589844,4356.025879,4292.820313,4278.461426,4295.897461,4301.410156,4275,4486.025879,4390.512695,4411.410156,4434.358887
4309.487305,4281.025879,4312.94873,4325.128418,4349.230957,4281.666504,4280.641113,4298.077148,4301.538574,4268.077148,4494.871582,4395.897461,4422.820313,4436.922852
4315,4276.538574,4320,4325.256348,4350,4279.102539,4282.436035,4296.794922,4304.230957,4272.692383,4503.461426,4395.769043,4431.922852,4442.820313
4326.153809,4282.94873,4330.128418,4336.282227,4361.538574,4289.743652,4285.256348,4300.897461,4312.692383,4285.769043,4509.230957,4401.153809,4430.512695,4454.743652
4334.615234,4301.538574,4339.743652,4353.333496,4371.538574,4298.077148,4290.641113,4299.871582,4315,4289.230957,4512.692383,4405,4434.358887,4459.102539
4332.436035,4298.333496,4337.179688,4353.461426,4371.153809,4296.025879,4288.589844,4288.205078,4302.563965,4280.512695,4502.820313,4392.820313,4427.94873,4444.871582
4322.820313,4282.179688,4324.871582,4342.307617,4368.461426,4296.538574,4285.384766,4278.205078,4293.974121,4282.692383,4480,4380.384766,4412.05127,4433.846191
4313.846191,4279.871582,4317.436035,4342.436035,4369.615234,4303.974121,4290.512695,4271.922852,4294.615234,4287.563965,4464.743652,4376.922852,4402.94873,4430.128418
4310.641113,4280.256348,4313.846191,4346.666504,4369.615234,4306.794922,4291.153809,4263.589844,4288.717773,4282.307617,4460.384766,4367.94873,4397.94873,4420.128418
4305.897461,4271.025879,4302.307617,4337.563965,4361.538574,4300.256348,4284.230957,4255.641113,4275.897461,4277.563965,4448.589844,4351.922852,4391.025879,4406.794922
4286.410156,4262.179688,4281.282227,4325,4348.333496,4295.384766,4280.512695,4255.384766,4270.256348,4270.769043,4426.410156,4336.666504,4380.384766,4391.922852
4266.666504,4261.794922,4264.230957,4319.487305,4340.128418,4296.794922,4280.769043,4261.410156,4275.897461,4263.846191,4416.282227,4328.077148,4369.358887,4377.179688
4269.102539,4259.871582,4260.384766,4314.358887,4337.05127,4296.282227,4279.102539,4265.384766,4273.846191,4259.871582,4417.820313,4328.205078,4367.436035,4373.589844
4276.282227,4252.820313,4264.871582,4310.128418,4333.974121,4293.974121,4280.256348,4261.538574,4264.230957,4250.897461,4416.153809,4330.256348,4370.641113,4380.256348
4269.230957,4249.358887,4263.846191,4308.974121,4327.692383,4292.692383,4282.05127,4263.717773,4270.384766,4247.436035,4414.615234,4331.666504,4370.641113,4381.538574
4264.743652,4248.974121,4260,4307.692383,4324.615234,4293.205078,4279.743652,4277.692383,4288.077148,4256.538574,4420.641113,4339.871582,4373.205078,4382.05127
4272.436035,4248.589844,4265.512695,4310.384766,4329.358887,4294.230957,4281.282227,4279.230957,4288.589844,4262.179688,4433.461426,4354.615234,4379.487305,4392.563965
4280.384766,4252.563965,4278.717773,4318.077148,4332.563965,4295.384766,4289.102539,4281.922852,4287.436035,4268.333496,4450.128418,4370.641113,4386.666504,4404.743652
4287.563965,4259.615234,4286.922852,4321.410156,4327.820313,4292.820313,4289.871582,4294.358887,4301.794922,4280.256348,4463.717773,4380.384766,4393.974121,4412.179688
4294.743652,4263.333496,4287.436035,4321.794922,4323.974121,4285.769043,4282.692383,4290.641113,4303.461426,4289.615234,4467.436035,4381.538574,4399.358887,4419.230957
4300.128418,4263.333496,4291.282227,4325.512695,4328.077148,4283.589844,4283.205078,4281.282227,4297.563965,4298.333496,4473.717773,4382.692383,4406.666504,4425.769043
4304.102539,4261.410156,4297.307617,4328.846191,4331.538574,4291.025879,4287.05127,4284.743652,4304.102539,4303.589844,4487.94873,4384.102539,4412.05127,4428.846191
4311.410156,4271.794922,4303.077148,4339.358887,4337.820313,4296.282227,4285.128418,4286.538574,4311.410156,4303.077148,4494.615234,4380.128418,4415.128418,4434.871582
4322.94873,4295,4313.589844,4354.487305,4352.05127,4295,4282.307617,4284.743652,4312.307617,4305.769043,4488.205078,4379.230957,4425.384766,4447.179688
4320.384766,4284.102539,4314.743652,4345.512695,4352.179688,4292.692383,4281.794922,4285,4306.282227,4299.743652,4475.769043,4380.256348,4424.102539,4448.077148
4312.05127,4261.410156,4307.94873,4333.333496,4343.974121,4293.974121,4285.128418,4278.461426,4295.641113,4282.307617,4467.307617,4379.102539,4404.487305,4439.487305
4327.94873,4291.538574,4320.512695,4355.641113,4353.077148,4299.230957,4295.256348,4284.487305,4294.871582,4280.128418,4474.230957,4392.563965,4403.974121,4452.692383
4345.769043,4324.615234,4337.94873,4374.358887,4359.743652,4301.538574,4299.743652,4298.589844,4304.102539,4285.384766,4478.717773,4401.410156,4417.563965,4470.897461
4328.077148,4305.128418,4323.717773,4354.358887,4349.871582,4295,4291.282227,4287.307617,4296.666504,4273.205078,4462.436035,4381.922852,4407.179688,4454.743652
4307.820313,4286.794922,4302.563965,4337.307617,4346.282227,4291.025879,4287.05127,4273.846191,4279.743652,4260.384766,4446.153809,4367.692383,4390.769043,4431.282227
